,id,atom_La,atom_Ba,atom_Sr,atom_Pr,atom_Ca,atom_Mn,atom_Fe,atom_Co,atom_Ni,atom_Cu,tsne_0,tsne_1
148,S00109,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.6,0.0,0.0,0.3275204,0.86907035
149,S00110,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.4,0.0,0.0,0.60639757,0.9242552
150,S00111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.0,0.4,0.35075596,0.8838281
151,S00112,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.4,0.5698328,0.9079505
152,S00113,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.4,0.0,0.34369487,0.92085516
153,S00114,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.4,0.0,0.597905,0.89854074
154,S00115,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.6,0.0,0.3719317,0.9456336
155,S00116,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.6,0.0,0.5095523,0.92073005
156,S00117,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.4,0.42923862,0.94442123
157,S00118,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.6,0.0,0.0,0.3122841,0.8881228
158,S00119,0.0,0.0,0.0,1.0,0.0,0.4,0.6,0.0,0.0,0.0,0.5704962,0.94515806
159,S00120,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.6,0.0,0.4409507,0.988655
160,S00121,0.0,0.0,0.0,1.0,0.0,0.6,0.0,0.4,0.0,0.0,0.50958127,0.99888575
161,S00122,0.0,0.0,0.0,1.0,0.0,0.6,0.4,0.0,0.0,0.0,0.5437604,0.9650382
162,S00123,0.0,0.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.4,0.500713,0.96616983
163,S00124,0.0,0.0,0.0,1.0,0.0,0.6,0.0,0.0,0.4,0.0,0.4662013,0.99411535
164,S00125,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.00079729146,0.6152935
165,S00126,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.89856946,0.80100656
166,S00127,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.6153159
167,S00128,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.8985668,0.8009958
168,S00129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0007942009,0.61526906
169,S00130,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.89856607,0.8009966
170,S00131,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.34343544,0.08507743
171,S00132,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.34352106,0.08550479
172,S00133,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.3436542,0.08500341
173,S00134,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.000792105,0.61526597
174,S00135,1.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.8985726,0.8009778
175,S00136,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.34452888,0.08566079
176,S00137,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.74444854,0.10709928
177,S00138,1.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.7434045,0.10811301
178,S00139,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.7438347,0.10725448
179,S00140,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.74449545,0.107962176
