id,atom_La,atom_Ba,atom_Sr,atom_Pr,atom_Ca,atom_Mn,atom_Fe,atom_Co,atom_Ni,atom_Cu,potential,tsne_0,tsne_1
S07879,0.2,0.2,0.2,0,0.4,0,0,0.4,0.6,0,0,0.34094137,0.2369044
S07880,0.2,0.2,0.2,0,0.4,0,0.4,0,0.6,0,0,0.48682165,0.20767802
S07881,0.2,0.2,0.2,0,0.4,0.4,0,0.6,0,0,0,0.16872618,0.52512884
S07882,0.2,0.2,0.2,0,0.4,0.4,0.6,0,0,0,0,0.7247737,0.75508624
S07883,0.2,0.2,0.2,0,0.4,0.4,0,0,0.6,0,0,0.55379,0.27286223
S07884,0.2,0.2,0.2,0,0.4,0.6,0,0.4,0,0,0,0.7836959,0.52877384
S07885,0.2,0.2,0.2,0,0.4,0.6,0.4,0,0,0,0,0.7594401,0.66936654
S07886,0.2,0.2,0.2,0,0.4,0.6,0,0,0.4,0,0,0.6168024,0.32821435
S07887,0.2,0.4,0.2,0.2,0,0,0.2,0.8,0,0,0,0.023436349,0.5020927
S07888,0.2,0.4,0.2,0.2,0,0,0.8,0.2,0,0,0,0.49868467,0.91350514
S07889,0.2,0.4,0.2,0.2,0,0,0,0.8,0,0.2,0,0.024906686,0.5013322
S07890,0.2,0.4,0.2,0.2,0,0,0.8,0,0,0.2,0,0.4990971,0.9145529
S07891,0.2,0.4,0.2,0.2,0,0,0,0.8,0.2,0,0,0.02376106,0.50125325
S07892,0.2,0.4,0.2,0.2,0,0,0.8,0,0.2,0,0,0.49857837,0.9128864
S07893,0.2,0.4,0.2,0.2,0,0,0,0.2,0.8,0,0,0.43545344,0.043403678
S07894,0.2,0.4,0.2,0.2,0,0,0.2,0,0.8,0,0,0.4354919,0.04366022
S07895,0.2,0.4,0.2,0.2,0,0,0,0,0.8,0.2,0,0.43154007,0.044956986
S07896,0.2,0.4,0.2,0.2,0,0.2,0,0.8,0,0,0,0.02370024,0.5015342
S07897,0.2,0.4,0.2,0.2,0,0.2,0.8,0,0,0,0,0.49891046,0.9134889
S07898,0.2,0.4,0.2,0.2,0,0.2,0,0,0.8,0,0,0.4356328,0.04330658
S07899,0.2,0.4,0.2,0.2,0,0.8,0,0.2,0,0,0,0.89007735,0.5425229
S07900,0.2,0.4,0.2,0.2,0,0.8,0.2,0,0,0,0,0.8909195,0.54311347
S07901,0.2,0.4,0.2,0.2,0,0.8,0,0,0,0.2,0,0.8938834,0.5448923
S07902,0.2,0.4,0.2,0.2,0,0.8,0,0,0.2,0,0,0.8907432,0.5428076
S07903,0.2,0.4,0.2,0.2,0,0,0.4,0.6,0,0,0,0.31635508,0.6461412
S07904,0.2,0.4,0.2,0.2,0,0,0.6,0.4,0,0,0,0.39605716,0.71320534
S07905,0.2,0.4,0.2,0.2,0,0,0,0.6,0.4,0,0,0.21198493,0.28377426
S07906,0.2,0.4,0.2,0.2,0,0,0.6,0,0.4,0,0,0.48656335,0.8493096
S07907,0.2,0.4,0.2,0.2,0,0,0,0.4,0.6,0,0,0.27145296,0.22250195
S07908,0.2,0.4,0.2,0.2,0,0,0.4,0,0.6,0,0,0.44360104,0.156608
S07909,0.2,0.4,0.2,0.2,0,0.4,0,0.6,0,0,0,0.1940888,0.5302051
S07910,0.2,0.4,0.2,0.2,0,0.4,0.6,0,0,0,0,0.7067751,0.74297196
S07911,0.2,0.4,0.2,0.2,0,0.4,0,0,0.6,0,0,0.5753784,0.28078264
S07912,0.2,0.4,0.2,0.2,0,0.6,0,0.4,0,0,0,0.8035521,0.5355488
S07913,0.2,0.4,0.2,0.2,0,0.6,0.4,0,0,0,0,0.73186874,0.66471887
S07914,0.2,0.4,0.2,0.2,0,0.6,0,0,0.4,0,0,0.59941584,0.30086178
S07915,0.2,0.2,0.4,0.2,0,0,0.2,0.8,0,0,0,0.024326235,0.4702962
S07916,0.2,0.2,0.4,0.2,0,0,0.8,0.2,0,0,0,0.46512866,0.9168826
S07917,0.2,0.2,0.4,0.2,0,0,0,0.8,0,0.2,0,0.025634252,0.4706114
S07918,0.2,0.2,0.4,0.2,0,0,0.8,0,0,0.2,0,0.46564215,0.91782564
S07919,0.2,0.2,0.4,0.2,0,0,0,0.8,0.2,0,0,0.024545213,0.47056466
S07920,0.2,0.2,0.4,0.2,0,0,0.8,0,0.2,0,0,0.4652955,0.91628593
S07921,0.2,0.2,0.4,0.2,0,0,0,0.2,0.8,0,0,0.44296992,0.07126138
S07922,0.2,0.2,0.4,0.2,0,0,0.2,0,0.8,0,0,0.44299114,0.07162891
S07923,0.2,0.2,0.4,0.2,0,0,0,0,0.8,0.2,0,0.4387486,0.0731441
S07924,0.2,0.2,0.4,0.2,0,0.2,0,0.8,0,0,0,0.024353258,0.4708117
S07925,0.2,0.2,0.4,0.2,0,0.2,0.8,0,0,0,0,0.46531817,0.9168962
S07926,0.2,0.2,0.4,0.2,0,0.2,0,0,0.8,0,0,0.4431755,0.07130032
S07927,0.2,0.2,0.4,0.2,0,0.8,0,0.2,0,0,0,0.880113,0.50863487
S07928,0.2,0.2,0.4,0.2,0,0.8,0.2,0,0,0,0,0.88005435,0.5089837
S07929,0.2,0.2,0.4,0.2,0,0.8,0,0,0,0.2,0,0.88207823,0.5089399
