,id,atom_La,atom_Ba,atom_Sr,atom_Pr,atom_Ca,atom_Mn,atom_Fe,atom_Co,atom_Ni,atom_Cu,tsne_0,tsne_1
170,S00141,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.8404389,0.15174824
171,S00142,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.6940862,0.8747401
172,S00143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.8079211,0.18187116
173,S00144,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.69445974,0.84827256
174,S00145,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.78900033,0.14555754
175,S00146,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.66267884,0.84941596
176,S00147,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.6934073,0.11140837
177,S00148,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.73086816,0.114612006
178,S00149,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.71719736,0.14941962
179,S00150,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.8063584,0.23121087
180,S00151,1.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.69489044,0.8167255
181,S00152,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,0.7462624,0.21572058
182,S00153,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.8526252,0.30992374
183,S00154,1.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.87301916,0.27130806
184,S00155,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4,0.8352261,0.28176564
185,S00156,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.74746215,0.21738873
186,S00157,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0051423167,0.5245784
187,S00158,0.0,0.8,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5206382,0.8985559
188,S00159,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.43618554,0.0103783095
189,S00160,0.0,0.8,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.87461215,0.57635367
190,S00161,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004309195,0.44770536
191,S00162,0.0,0.2,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.44021767,0.90803003
192,S00163,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4646009,0.089295454
193,S00164,0.0,0.2,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.86014634,0.48935714
194,S00165,0.0,0.8,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.011679649,0.5301359
195,S00166,0.0,0.8,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.52583694,0.8999423
196,S00167,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.44188273,0.00359819
197,S00168,0.0,0.8,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.87669146,0.5813503
198,S00169,0.0,0.0,0.8,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.008776089,0.44178382
199,S00170,0.0,0.0,0.8,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.43433374,0.91300046
200,S00171,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.4735993,0.091416605
201,S00172,0.0,0.0,0.8,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.8623937,0.4829255
202,S00173,0.0,0.2,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.09777306,0.49091208
203,S00174,0.0,0.2,0.0,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.49853095,0.98912513
204,S00175,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.5196971,0.0069626737
205,S00176,0.0,0.2,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.9581333,0.48916867
206,S00177,0.0,0.0,0.2,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.09742429,0.48566097
207,S00178,0.0,0.0,0.2,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.4894482,0.9907833
208,S00179,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.5255007,0.01278796
209,S00180,0.0,0.0,0.2,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.9538294,0.48330602
210,S00181,0.0,0.8,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.009953713,0.53586084
211,S00182,0.0,0.8,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.5262923,0.8987579
212,S00183,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.43000907,0.009268761
213,S00184,0.0,0.8,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.8782303,0.58126533
214,S00185,0.0,0.0,0.8,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0035244415,0.44136208
215,S00186,0.0,0.0,0.8,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.42824677,0.9091215
216,S00187,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.46094263,0.09490851
217,S00188,0.0,0.0,0.8,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.8586631,0.4825998
218,S00189,0.0,0.0,0.0,0.2,0.8,0.0,0.0,1.0,0.0,0.0,0.09934568,0.49135685
219,S00190,0.0,0.0,0.0,0.2,0.8,0.0,1.0,0.0,0.0,0.0,0.4886365,0.9960919
220,S00191,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,1.0,0.0,0.52659774,0.0071287216
221,S00192,0.0,0.0,0.0,0.2,0.8,1.0,0.0,0.0,0.0,0.0,0.96357316,0.4903797
222,S00193,0.0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.08288366,0.6526154
223,S00194,0.0,0.2,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.2723824,0.89718306
