id,pred_avg_Pnma_uncorrected,pred_avg_Pbcm_uncorrected
S00567,0.474597794,0.495874495
S00568,0.490722075,0.49596402
S00569,0.449176123,0.44601601
S00570,0.461730507,0.46301821
S00571,0.449344356,0.447262
S00572,0.461739018,0.46403463
S00573,0.468873782,0.46761264
S00574,0.468876429,0.466410695
S00575,0.44894174,0.44554824
S00576,0.461744784,0.462598865
S00577,0.468449658,0.46556697
S00578,0.490426191,0.485919
S00579,0.49042461,0.48573579
S00580,0.490373576,0.486363075
S00581,0.457363979,0.45534235
S00582,0.458006898,0.45717027
S00583,0.45461029,0.452404145
S00584,0.461678597,0.46437661
S00585,0.458752749,0.458006265
S00586,0.469855686,0.465870315
S00587,0.450362785,0.44658324
S00588,0.470209486,0.469466
S00589,0.474941818,0.473720965
S00590,0.478392813,0.47496844
S00591,0.475426101,0.47258656
S00592,0.477973729,0.476158165
S00593,0.443433404,0.44568367
S00594,0.458092874,0.46647939
S00595,0.445527927,0.445545165
S00596,0.460270673,0.4660515
S00597,0.469355919,0.463325725
S00598,0.469888536,0.46393226
S00599,0.442899775,0.445925625
S00600,0.457702276,0.465831785
S00601,0.469049635,0.462890145
S00602,0.489113687,0.493210925
S00603,0.489154123,0.491169705
S00604,0.491294116,0.49202004
S00605,0.457340493,0.460650205
S00606,0.45776867,0.461839525
S00607,0.460507031,0.45926778
S00608,0.465021546,0.46728829
S00609,0.466382191,0.462295575
S00610,0.468593939,0.4629397
S00611,0.453542274,0.456210225
S00612,0.472371264,0.47585413
S00613,0.478358396,0.473640055
S00614,0.478209585,0.48006235
S00615,0.475323548,0.478956205
S00616,0.479949359,0.478497975
S00617,0.44366707,0.441370115
S00618,0.457781893,0.460639445
S00619,0.443807393,0.44159605
S00620,0.457844873,0.46117477
S00621,0.462256481,0.45874856
S00622,0.462443375,0.4597822
S00623,0.443200305,0.440832135
S00624,0.45733837,0.459898115
S00625,0.462085899,0.45901507
S00626,0.48975091,0.486484645
S00627,0.489705425,0.48635371
S00628,0.489787512,0.486786915
S00629,0.457412545,0.456203845
S00630,0.45768711,0.45667493
S00631,0.456480384,0.454479
S00632,0.461079626,0.46145892
S00633,0.460651804,0.45651302
S00634,0.462410246,0.45715122
S00635,0.453548217,0.450177805
S00636,0.47233634,0.47124915
S00637,0.47186694,0.469699905
S00638,0.478204064,0.4757838
S00639,0.475411798,0.47365199
S00640,0.476297701,0.473582375
S00641,0.448859921,0.472223775
S00642,0.469159265,0.49958865
S00643,0.455435018,0.47598824
S00644,0.474433796,0.49653898
S00645,0.50024071,0.4947816
S00646,0.500040474,0.493002715
S00647,0.44799426,0.4708052
S00648,0.46865287,0.49889174
S00649,0.498800467,0.495962935
S00650,0.485555465,0.5083038
S00651,0.486113531,0.50682635
S00652,0.492708654,0.50988962
S00653,0.454673773,0.477580665
S00654,0.462499524,0.48932015
S00655,0.46995733,0.482331175
S00656,0.482567887,0.49571821
S00657,0.480787887,0.482842235
S00658,0.490972524,0.48692574
S00659,0.448886691,0.46811742
S00660,0.474877253,0.49865665
S00661,0.496847362,0.497814105
S00662,0.485029991,0.50591685
S00663,0.477651716,0.50012649
S00664,0.490415557,0.5048064
S00665,0.449831501,0.44312668
S00666,0.461041315,0.464243365
S00667,0.449009704,0.45208266
S00668,0.462397968,0.46284458
S00669,0.468633261,0.466453165
S00670,0.469198289,0.46370551
S00671,0.449264224,0.450667265
S00672,0.462894011,0.46674448
S00673,0.469979706,0.463515445
S00674,0.491810592,0.49009697
S00675,0.491738887,0.48527288
S00676,0.492252625,0.49481776
S00677,0.457287633,0.45181292
S00678,0.457396141,0.46472619
S00679,0.455054618,0.45236986
S00680,0.461532738,0.46498975
S00681,0.45987391,0.45712592
