id,atom_La,atom_Ba,atom_Sr,atom_Pr,atom_Ca,atom_Mn,atom_Fe,atom_Co,atom_Ni,atom_Cu,potential,tsne_0,tsne_1,count,entropy,potential_initial,uncertainty_initial,potential_final,uncertainty_final
S00082,0,0,0,0,1,0,0.6,0.4,0,0,0,0.45489606,0.6582398,3,5.595419,0.362872419,0.036560168,0.426186112,0.01020798
S00083,0,0,0,0,1,0,0,0.6,0.4,0,0,0.27252737,0.5644375,3,5.595419,0.343708097,0.037948177,0.424289845,0.01006817
S00084,0,0,0,0,1,0,0.6,0,0.4,0,0,0.61003554,0.6931684,3,5.595419,0.375351654,0.036629656,0.432972892,0.011186156
S00085,0,0,0,0,1,0,0,0.4,0.6,0,0,0.17509992,0.40691364,3,5.595419,0.367237378,0.036982172,0.432449626,0.010275514
S00086,0,0,0,0,1,0,0.4,0,0.6,0,0,0.15829472,0.3556458,3,5.595419,0.385119048,0.036741456,0.435400683,0.010232062
S00087,0,0,0,0,1,0.4,0,0.6,0,0,0,0.26257074,0.5912368,3,5.595419,0.347864019,0.041195407,0.418825766,0.009594016
S00088,0,0,0,0,1,0.4,0.6,0,0,0,0,0.78847706,0.54059446,3,5.595419,0.423321263,0.036948585,0.455713373,0.011180471
S00089,0,0,0,0,1,0.4,0,0,0.6,0,0,0.5329276,0.38995075,3,5.595419,0.394415729,0.038362274,0.4539037,0.009993697
S00090,0,0,0,0,1,0.6,0,0.4,0,0,0,0.78333515,0.4156364,3,5.595419,0.425812714,0.036534676,0.466040089,0.010893585
S00091,0,0,0,0,1,0.6,0.4,0,0,0,0,0.80179316,0.48403686,3,5.595419,0.429457215,0.035041309,0.461041869,0.011036426
S00092,0,0,0,0,1,0.6,0,0,0.4,0,0,0.6858298,0.3922988,3,5.595419,0.415057537,0.037505096,0.462270872,0.010270826
S00093,0,0,0,1,0,0,0.2,0.8,0,0,0,0.28392074,0.874145,3,4.160345749,0.545504081,0.029949705,0.571345484,0.01270479
S00094,0,0,0,1,0,0,0.8,0.2,0,0,0,0.622381,0.9131874,3,4.160345749,0.545861493,0.033608316,0.57989966,0.015621224
S00095,0,0,0,1,0,0,0,0.8,0,0.2,0,0.28311,0.8741634,3,4.160345749,0.546802995,0.030225774,0.57303678,0.012509761
S00096,0,0,0,1,0,0,0.8,0,0,0.2,0,0.6291946,0.9044045,3,4.160345749,0.540869086,0.033093861,0.578459226,0.015354902
S00097,0,0,0,1,0,0,0,0.8,0.2,0,0,0.28244314,0.87460506,3,4.160345749,0.55186456,0.030950624,0.575553303,0.012851403
S00098,0,0,0,1,0,0,0.8,0,0.2,0,0,0.6218266,0.9049492,3,4.160345749,0.547296579,0.033710458,0.583824493,0.015794898
S00099,0,0,0,1,0,0,0,0.2,0.8,0,0,0.09238343,0.23202574,3,4.160345749,0.59750167,0.025749754,0.632086429,0.008748718
S00100,0,0,0,1,0,0,0.2,0,0.8,0,0,0.092390426,0.23202093,3,4.160345749,0.594583224,0.025520371,0.630623802,0.008777823
S00101,0,0,0,1,0,0,0,0,0.8,0.2,0,0.09238908,0.23204513,3,4.160345749,0.595770882,0.026275745,0.632122862,0.008667279
S00102,0,0,0,1,0,0.2,0,0.8,0,0,0,0.28470144,0.87493366,3,4.160345749,0.527321402,0.028526596,0.557133968,0.012194597
S00103,0,0,0,1,0,0.2,0.8,0,0,0,0,0.63129085,0.9124903,3,4.160345749,0.536927557,0.032073055,0.566486721,0.015169428
S00104,0,0,0,1,0,0.2,0,0,0.8,0,0,0.09238336,0.23202027,3,4.160345749,0.574297515,0.023326743,0.617983474,0.008661989
S00105,0,0,0,1,0,0.8,0,0.2,0,0,0,0.99999845,0.38451532,3,4.160345749,0.632000179,0.029719045,0.635491412,0.012313906
S00106,0,0,0,1,0,0.8,0.2,0,0,0,0,0.9999946,0.38450864,3,4.160345749,0.632175371,0.030250125,0.634403942,0.01249504
S00107,0,0,0,1,0,0.8,0,0,0,0.2,0,1,0.3845148,3,4.160345749,0.632430894,0.030638504,0.635743071,0.012381832
S00108,0,0,0,1,0,0.8,0,0,0.2,0,0,0.9999964,0.38449243,3,4.160345749,0.632866141,0.030146185,0.634649483,0.012623414
S00109,0,0,0,1,0,0,0.4,0.6,0,0,0,0.3275204,0.86907035,3,5.595419,0.554907826,0.031346573,0.571581729,0.012771902
S00110,0,0,0,1,0,0,0.6,0.4,0,0,0,0.60639757,0.9242552,3,5.595419,0.549178826,0.030813776,0.581916155,0.016049099
S00111,0,0,0,1,0,0,0,0.6,0,0.4,0,0.35075596,0.8838281,3,5.595419,0.541951294,0.031018694,0.574315175,0.012701472
S00112,0,0,0,1,0,0,0.6,0,0,0.4,0,0.5698328,0.9079505,3,5.595419,0.538220716,0.031407125,0.575052846,0.014569794
S00113,0,0,0,1,0,0,0,0.6,0.4,0,0,0.34369487,0.92085516,3,5.595419,0.554300512,0.032227192,0.576158509,0.013970379
S00114,0,0,0,1,0,0,0.6,0,0.4,0,0,0.597905,0.89854074,3,5.595419,0.551730718,0.033509436,0.588838029,0.016038625
S00115,0,0,0,1,0,0,0,0.4,0.6,0,0,0.3719317,0.9456336,3,5.595419,0.59124218,0.025697839,0.576147764,0.014654774
S00116,0,0,0,1,0,0,0.4,0,0.6,0,0,0.5095523,0.92073005,3,5.595419,0.583525244,0.024197885,0.584705825,0.015512761
S00117,0,0,0,1,0,0,0,0,0.6,0.4,0,0.42923862,0.94442123,3,5.595419,0.588947379,0.025336052,0.57964489,0.014646581
S00118,0,0,0,1,0,0.4,0,0.6,0,0,0,0.3122841,0.8881228,3,5.595419,0.522602365,0.026486634,0.543829057,0.01234183
S00119,0,0,0,1,0,0.4,0.6,0,0,0,0,0.5704962,0.94515806,3,5.595419,0.534697364,0.030732999,0.552220679,0.014561717
S00120,0,0,0,1,0,0.4,0,0,0.6,0,0,0.4409507,0.988655,3,5.595419,0.553449612,0.020859758,0.54831141,0.015459397
S00121,0,0,0,1,0,0.6,0,0.4,0,0,0,0.50958127,0.99888575,3,5.595419,0.523577358,0.028154503,0.540090677,0.014674026
S00122,0,0,0,1,0,0.6,0.4,0,0,0,0,0.5437604,0.9650382,3,5.595419,0.521431553,0.029807224,0.543549656,0.014068016
S00123,0,0,0,1,0,0.6,0,0,0,0.4,0,0.500713,0.96616983,3,5.595419,0.521540557,0.029473574,0.542903488,0.013776162
S00124,0,0,0,1,0,0.6,0,0,0.4,0,0,0.4662013,0.99411535,3,5.595419,0.517370763,0.029242015,0.539027381,0.013879584
S00125,1,0,0,0,0,0,0.2,0.8,0,0,0,0.000797291,0.6152935,3,4.160345749,0.554770074,0.026258464,0.576720833,0.008001697
S00126,1,0,0,0,0,0,0.8,0.2,0,0,0,0.89856946,0.80100656,3,4.160345749,0.597351481,0.034965172,0.610819362,0.016571865
S00127,1,0,0,0,0,0,0,0.8,0,0.2,0,0,0.6153159,3,4.160345749,0.553729426,0.027073863,0.578192154,0.007889938
S00128,1,0,0,0,0,0,0.8,0,0,0.2,0,0.8985668,0.8009958,3,4.160345749,0.59269186,0.034928775,0.607749566,0.016214545
S00129,1,0,0,0,0,0,0,0.8,0.2,0,0,0.000794201,0.61526906,3,4.160345749,0.560817682,0.027343615,0.581215698,0.008371103
S00130,1,0,0,0,0,0,0.8,0,0.2,0,0,0.89856607,0.8009966,3,4.160345749,0.599969383,0.035279978,0.612862421,0.016797831
S00131,1,0,0,0,0,0,0,0.2,0.8,0,0,0.34343544,0.08507743,3,4.160345749,0.650071938,0.027870044,0.66936106,0.010124597
S00132,1,0,0,0,0,0,0.2,0,0.8,0,0,0.34352106,0.08550479,3,4.160345749,0.647880214,0.027816033,0.667323821,0.010020978
S00133,1,0,0,0,0,0,0,0,0.8,0.2,0,0.3436542,0.08500341,3,4.160345749,0.64756548,0.028821538,0.669155966,0.009989771
S00134,1,0,0,0,0,0.2,0,0.8,0,0,0,0.000792105,0.61526597,3,4.160345749,0.528667592,0.022933537,0.562491335,0.007286479
S00135,1,0,0,0,0,0.2,0.8,0,0,0,0,0.8985726,0.8009778,3,4.160345749,0.588501649,0.034044209,0.596129416,0.015668821
S00136,1,0,0,0,0,0.2,0,0,0.8,0,0,0.34452888,0.08566079,3,4.160345749,0.628986719,0.026735977,0.651639178,0.009336092
S00137,1,0,0,0,0,0.8,0,0.2,0,0,0,0.74444854,0.10709928,3,4.160345749,0.619363695,0.023168772,0.645267671,0.008621666
S00138,1,0,0,0,0,0.8,0.2,0,0,0,0,0.7434045,0.10811301,3,4.160345749,0.619743914,0.023923211,0.64440553,0.008719137
S00139,1,0,0,0,0,0.8,0,0,0,0.2,0,0.7438347,0.10725448,3,4.160345749,0.61967442,0.023854063,0.64595127,0.009007551
S00140,1,0,0,0,0,0.8,0,0,0.2,0,0,0.74449545,0.107962176,3,4.160345749,0.620941703,0.023520261,0.646031367,0.009326915
